id,loan_amnt,funded_amnt,term_months,int_rate,installment,grade,sub_grade,emp_title,emp_length_years,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,pub_rec_bankruptcies
1077501,5000,5000,36,0.1065,162.87,B,B2,Not Disclosed,10.0,RENT,24000.0,Verified,2026-12-11,Fully Paid,credit_card,Computer,860xx,AZ,27.65,0,1985-01-01,1,3,0,13648,0.837,9,0.0
1077430,2500,2500,60,0.1527,59.83,C,C4,Ryder,0.0,RENT,30000.0,Source Verified,2026-12-11,Charged Off,car,bike,309xx,GA,1.0,0,1999-04-01,5,3,0,1687,0.094,4,0.0
1077175,2400,2400,36,0.1596,84.33,C,C5,Not Disclosed,10.0,RENT,12252.0,Not Verified,2026-12-11,Fully Paid,small_business,real estate business,606xx,IL,8.72,0,1926-11-01,2,2,0,2956,0.985,10,0.0
1076863,10000,10000,36,0.1349,339.31,C,C1,AIR RESOURCES BOARD,10.0,RENT,49200.0,Source Verified,2026-12-11,Fully Paid,other,personel,917xx,CA,20.0,0,1996-02-01,1,10,0,5598,0.21,37,0.0
1075269,5000,5000,36,0.079,156.46,A,A4,Veolia Transportaton,3.0,RENT,36000.0,Source Verified,2026-12-11,Fully Paid,wedding,My wedding loan I promise to pay back,852xx,AZ,11.2,0,1926-11-04,3,9,0,7963,0.283,12,0.0
1069639,7000,7000,60,0.1596,170.08,C,C5,Southern Star Photography,8.0,RENT,47004.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,Loan,280xx,NC,23.51,0,1926-07-05,1,7,0,17726,0.856,11,0.0
1072053,3000,3000,36,0.1864,109.43,E,E1,MKC Accounting ,9.0,RENT,48000.0,Source Verified,2026-12-11,Fully Paid,car,Car Downpayment,900xx,CA,5.35,0,1926-01-07,2,4,0,8221,0.875,4,0.0
1071795,5600,5600,60,0.2128,152.39,F,F2,Not Disclosed,4.0,OWN,40000.0,Source Verified,2026-12-11,Charged Off,small_business,Expand Business & Buy Debt Portfolio,958xx,CA,5.55,0,1926-04-04,2,11,0,5210,0.326,13,0.0
1071570,5375,5375,60,0.1269,121.45,B,B5,Starbucks,0.0,RENT,15000.0,Verified,2026-12-11,Charged Off,other,Building my credit history.,774xx,TX,18.08,0,1926-09-04,0,2,0,9279,0.365,3,0.0
1070078,6500,6500,60,0.1465,153.45,C,C3,Southwest Rural metro,5.0,OWN,72000.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,High intrest Consolidation,853xx,AZ,16.12,0,1998-01-01,2,14,0,4032,0.206,23,0.0
1069908,12000,12000,36,0.1269,402.54,B,B5,UCLA,10.0,OWN,75000.0,Source Verified,2026-12-11,Fully Paid,debt_consolidation,Consolidation,913xx,CA,10.78,0,1989-10-01,0,12,0,23336,0.671,34,0.0
1064687,9000,9000,36,0.1349,305.38,C,C1,Va. Dept of Conservation/Recreation,0.0,RENT,30000.0,Source Verified,2026-12-11,Charged Off,debt_consolidation,freedom,245xx,VA,10.08,0,1926-04-04,1,4,0,10452,0.917,9,0.0
1069866,3000,3000,36,0.0991,96.68,B,B1,Target,3.0,RENT,15000.0,Source Verified,2026-12-11,Fully Paid,credit_card,citicard fund,606xx,IL,12.56,0,1926-07-03,2,11,0,7323,0.431,11,0.0
1069057,10000,10000,36,0.1065,325.74,B,B2,SFMTA,3.0,RENT,100000.0,Source Verified,2026-12-11,Charged Off,other,Other Loan,951xx,CA,7.06,0,1991-05-01,2,14,0,11997,0.555,29,0.0
1069759,1000,1000,36,0.1629,35.31,D,D1,Internal revenue Service,0.0,RENT,28000.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,Debt Consolidation Loan,641xx,MO,20.31,0,1926-09-07,1,11,0,6524,0.815,23,0.0
1065775,10000,10000,36,0.1527,347.98,C,C4,Chin's Restaurant,4.0,RENT,42000.0,Not Verified,2026-12-11,Fully Paid,home_improvement,Home,921xx,CA,18.6,0,1998-10-01,2,14,0,24043,0.702,28,0.0
1069971,3600,3600,36,0.0603,109.57,A,A1,Duracell,10.0,MORTGAGE,110000.0,Not Verified,2026-12-11,Fully Paid,major_purchase,Holiday,067xx,CT,10.52,0,1993-08-01,0,20,0,22836,0.16,42,0.0
1062474,6000,6000,36,0.1171,198.46,B,B3,Connection Inspection,1.0,MORTGAGE,84000.0,Verified,2026-12-11,Fully Paid,medical,Medical,890xx,UT,18.44,2,1926-10-03,0,4,0,0,0.3773,14,0.0
1069742,9200,9200,36,0.0603,280.01,A,A1,Network Interpreting Service,6.0,RENT,77385.19,Not Verified,2026-12-11,Fully Paid,debt_consolidation,lowerratemeanseasiertogetoutofdebt!,921xx,CA,9.86,0,1926-01-01,0,8,0,7314,0.231,28,0.0
1069740,20250,20250,60,0.1527,484.63,C,C4,Archdiocese of Galveston Houston,3.0,RENT,43370.0,Verified,2026-12-11,Fully Paid,debt_consolidation,Freedom From Credit Cards,770xx,TX,26.53,0,1997-11-01,3,8,0,17813,0.856,22,0.0
1039153,21000,21000,36,0.1242,701.73,B,B4,Osram Sylvania,10.0,RENT,105000.0,Verified,2026-12-11,Charged Off,debt_consolidation,Debt Cleanup,335xx,FL,13.22,0,1983-02-01,0,7,0,32135,0.903,38,0.0
1069710,10000,10000,36,0.1171,330.76,B,B3,Value Air,10.0,OWN,50000.0,Source Verified,2026-12-11,Fully Paid,credit_card,Credit Card Loan,799xx,TX,11.18,0,1985-07-01,0,8,0,10056,0.824,21,0.0
1069700,10000,10000,36,0.1171,330.76,B,B3,Wells Fargo Bank,5.0,RENT,50000.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,Debt Consolidation,917xx,CA,16.01,0,1926-04-03,0,6,0,17800,0.918,17,0.0
1069559,6000,6000,36,0.1171,198.46,B,B3,bmg-educational,1.0,RENT,76000.0,Not Verified,2026-12-11,Charged Off,major_purchase,cash,900xx,CA,2.4,0,1926-06-01,1,7,0,5963,0.297,7,0.0
1069697,15000,15000,36,0.0991,483.38,B,B1,Winfield Pathology Consultants,2.0,MORTGAGE,92000.0,Verified,2026-12-11,Fully Paid,credit_card,No more credit card debt!,605xx,IL,29.44,0,1926-02-02,0,8,0,13707,0.939,31,0.0
1069800,15000,15000,36,0.1427,514.64,C,C2,nyc transit,9.0,RENT,60000.0,Not Verified,2026-12-11,Charged Off,debt_consolidation,consolidation,103xx,NY,15.22,0,1926-10-03,1,7,0,5872,0.576,11,0.0
1069657,5000,5000,60,0.1677,123.65,D,D2,Frito Lay,2.0,RENT,50004.0,Not Verified,2026-12-11,Charged Off,other,Other,150xx,PA,13.97,3,1926-10-03,0,14,0,4345,0.595,22,0.0
